indice_tiempo,ventas_precios_corrientes
2017-11-01,33628.98265709631
2017-12-01,40766.3221043007
2018-01-01,32479.208005574
2018-02-01,31736.824552140013
2018-03-01,36531.291328669984
2018-04-01,34113.745666800016
2018-05-01,35133.146391275004
2018-06-01,38338.20974565649
2018-07-01,39278.44996264218
2018-08-01,39491.90727419412
2018-09-01,39925.54899754218
2018-10-01,43420.253822487975
2018-11-01,44849.44600603298
2018-12-01,57203.95586361999
2019-01-01,45433.623712055996
2019-02-01,44592.144895342186
2019-03-01,51065.69425464903
2019-04-01,49621.40927512204
2019-05-01,50778.29991440001
2019-06-01,54413.419614820006
2019-07-01,55044.48225731951
2019-08-01,59672.10445566601
2019-09-01,57885.30640686599
2019-10-01,66325.57959367818
2019-11-01,67943.71018742798
2019-12-01,83524.644291502
2020-01-01,70145.01027272303
2020-02-01,72494.433661744
2020-03-01,85778.03108882
2020-04-01,75009.59663855402
2020-05-01,78594.52182045302
2020-06-01,78232.85960185598
2020-07-01,81140.69622145995
2020-08-01,80411.97328758003
2020-09-01,77055.77435700996
2020-10-01,89224.28105372799
2020-11-01,91093.50731224002
2020-12-01,115806.12811517665
2021-01-01,98007.58325283098
2021-02-01,92954.23368112402
2021-03-01,107225.88448978103
2021-04-01,106870.18588609398
2021-05-01,110604.69456479797
2021-06-01,116287.89295616008
2021-07-01,125658.55253241002
2021-08-01,124840.31996239901
2021-09-01,123002.25242975802
2021-10-01,140487.48726625007
2021-11-01,141701.96065865096
2021-12-01,183983.1518799231
2022-01-01,154517.09418196804
2022-02-01,152202.57339011706
2022-03-01,168982.50227879308
2022-04-01,177192.28872404504
2022-05-01,179641.5687331929
2022-06-01,196114.52481693198
2022-07-01,228215.3447311972
2022-08-01,225508.109135602
2022-09-01,232153.1572245599
2022-10-01,265665.6888902528
2022-11-01,284825.2731204641
2022-12-01,359730.26798745303
2023-01-01,316671.87571623677
